,Unnamed: 0,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
12144,12144,Bakı,BMW,M5,2012,Sedan,Göy,4.4 L/560 a.g./Benzin,105 300 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",35 000 USD,5.0,1.0,Avropa
12145,12145,Bakı,Land Rover,RR Sport,2010,Offroader / SUV,Ağ,5.0 L/510 a.g./Benzin,217 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 000 USD,5.0,1.0,Avropa
12146,12146,Bakı,Toyota,Prius,2006,Liftbek,Gümüşü,1.5 L/76 a.g./Hibrid,308 100 km,Variator,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 400 AZN,5.0,1.0,Amerika
12147,12147,Gəncə,Opel,Astra,2006,Hetçbek,Boz,1.3 L/90 a.g./Dizel,294 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 700 AZN,5.0,1.0,Avropa
12148,12148,Bakı,Toyota,Corolla,2006,Universal,Qara,1.4 L/90 a.g./Dizel,265 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",13 900 AZN,5.0,2.0,Avropa
12149,12149,Bakı,Mercedes,E 200,2013,Sedan,Qara,1.8 L/184 a.g./Benzin,199 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",20 800 USD,5.0,1.0,Avropa
12150,12150,Bakı,Audi,A6,2013,Sedan,Gümüşü,2.0 L/190 a.g./Dizel,83 900 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 200 USD,5.0,1.0,Avropa
12151,12151,Sumqayıt,Mitsubishi,Pajero,2007,Offroader / SUV,Gümüşü,3.0 L/188 a.g./Benzin,186 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 300 AZN,7.0,1.0,Avropa
12152,12152,Bakı,Porsche,Macan,2017,Offroader / SUV,Ağ,2.0 L/265 a.g./Benzin,46 500 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",43 000 USD,5.0,1.0,Amerika
12153,12153,Bakı,Toyota,Prius,2007,Liftbek,Mavi,1.5 L/76 a.g./Hibrid,191 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 800 AZN,5.0,1.0,Avropa
12154,12154,Bakı,Mercedes,GL 350,2012,Offroader / SUV,Boz,3.5 L/306 a.g./Dizel,273 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",40 000 USD,7.0,1.0,Avropa
12155,12155,Bakı,Hyundai,Sonata,2010,Sedan,Ağ,2.4 L/178 a.g./Benzin,230 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",21 500 AZN,5.0,2.0,Avropa
12156,12156,Bakı,Nissan,Teana,2007,Sedan,Yaş Asfalt,2.3 L/173 a.g./Benzin,256 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 300 AZN,5.0,1.0,Avropa
12157,12157,Bakı,Mercedes,S 500,2011,Sedan,Qara,5.0 L/388 a.g./Benzin,240 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 500 USD,5.0,1.0,Avropa
12158,12158,Bakı,Mercedes,E 220,2011,Sedan,Gümüşü,2.2 L/170 a.g./Dizel,227 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",31 000 AZN,5.0,1.0,Avropa
12159,12159,Ağdam,LADA (VAZ),2106,2001,Sedan,Göy,1.6 L/75 a.g./Benzin,80 963 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",3 700 AZN,5.0,1.0,Rusiya
12160,12160,Bakı,Mercedes,GL 320,2006,Offroader / SUV,Gümüşü,3.0 L/224 a.g./Dizel,307 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",31 500 AZN,7.0,1.0,Avropa
12161,12161,Bakı,Opel,Astra,2006,Universal,Yaş Asfalt,1.4 L/90 a.g./Benzin,330 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 300 AZN,5.0,3.0,Avropa
12162,12162,Bakı,Mercedes,E 300,1996,Sedan,Gümüşü,3.0 L/136 a.g./Dizel,282 320 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",9 500 AZN,5.0,1.0,Avropa
12163,12163,Bakı,Audi,Q7,2012,Offroader / SUV,Qara,3.0 L/272 a.g./Benzin,246 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",22 000 USD,5.0,1.0,Avropa
12164,12164,Bakı,Chevrolet,Captiva,2021,Offroader / SUV,Qara,1.5 L/180 a.g./Benzin,17 200 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",36 500 AZN,7.0,1.0,Avropa
12165,12165,Bakı,Kia,Sorento,2016,Offroader / SUV,Ağ,2.2 L/200 a.g./Dizel,195 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",47 800 AZN,5.0,1.0,Koreya
